event_id,user_id,event_time,platform
1,u501,2026-02-01 09:00:00,ios
2,u501,2026-02-02 10:00:00,ios
3,u501,2026-02-04 10:00:00,ios
4,u501,2026-02-08 10:00:00,ios
5,u501,2026-02-15 10:00:00,ios
6,u501,2026-03-03 10:00:00,ios
7,u502,2026-02-01 11:00:00,android
8,u502,2026-02-02 11:05:00,android
9,u502,2026-02-08 11:10:00,android
10,u502,2026-03-03 11:15:00,android
11,u503,2026-02-10 09:00:00,ios
12,u503,2026-02-11 09:05:00,ios
13,u503,2026-02-13 09:10:00,ios
14,u503,2026-02-17 09:15:00,ios
15,u503,2026-02-24 09:20:00,ios
16,u503,2026-03-12 09:25:00,ios
17,u504,2026-02-10 12:00:00,android
18,u504,2026-02-13 12:05:00,android
19,u504,2026-02-17 12:10:00,android
20,u504,2026-03-12 12:15:00,android
21,u505,2026-03-01 08:30:00,ios
22,u505,2026-03-02 08:35:00,ios
23,u505,2026-03-04 08:40:00,ios
24,u505,2026-03-08 08:45:00,ios
25,u505,2026-03-15 08:50:00,ios
26,u505,2026-03-31 08:55:00,ios
27,u506,2026-03-01 13:00:00,android
28,u506,2026-03-04 13:05:00,android
29,u506,2026-03-08 13:10:00,android
30,u506,2026-03-15 13:15:00,android
31,u507,2026-02-05 09:00:00,web
32,u507,2026-02-06 09:05:00,web
33,u508,2026-03-05 09:00:00,miniapp
