order_id,user_id,order_date,amount,channel,region
1001,u101,2025-01-01 10:00:00,120.00,organic,APAC
1002,u102,2025-02-12 11:30:00,135.00,ads,APAC
1003,u103,2025-03-20 14:20:00,160.00,organic,APAC
1004,u104,2025-01-18 16:45:00,90.00,email,EMEA
1005,u105,2026-01-10 09:15:00,210.00,organic,APAC
1006,u106,2026-02-14 13:00:00,230.00,ads,APAC
2001,u201,2026-03-01 09:00:00,101.00,organic,APAC
2002,u202,2026-03-01 18:00:00,81.00,ads,APAC
2003,u203,2026-03-02 09:00:00,102.00,organic,APAC
2004,u204,2026-03-02 18:00:00,82.00,ads,APAC
2005,u205,2026-03-03 09:00:00,103.00,organic,APAC
2006,u206,2026-03-03 18:00:00,83.00,ads,APAC
2007,u207,2026-03-04 09:00:00,104.00,organic,APAC
2008,u208,2026-03-04 18:00:00,84.00,ads,APAC
2009,u209,2026-03-05 09:00:00,105.00,organic,APAC
2010,u210,2026-03-05 18:00:00,85.00,ads,APAC
2011,u211,2026-03-06 09:00:00,106.00,organic,APAC
2012,u212,2026-03-06 18:00:00,86.00,ads,APAC
2013,u213,2026-03-07 09:00:00,107.00,organic,APAC
2014,u214,2026-03-07 18:00:00,87.00,ads,APAC
2015,u215,2026-03-08 09:00:00,108.00,organic,APAC
2016,u216,2026-03-08 18:00:00,88.00,ads,APAC
2017,u217,2026-03-09 09:00:00,109.00,organic,APAC
2018,u218,2026-03-09 18:00:00,89.00,ads,APAC
2019,u219,2026-03-10 09:00:00,110.00,organic,APAC
2020,u220,2026-03-10 18:00:00,90.00,ads,APAC
2021,u221,2026-03-11 09:00:00,111.00,organic,APAC
2022,u222,2026-03-11 18:00:00,91.00,ads,APAC
2023,u223,2026-03-12 09:00:00,112.00,organic,APAC
2024,u224,2026-03-12 18:00:00,92.00,ads,APAC
2025,u225,2026-03-13 09:00:00,113.00,organic,APAC
2026,u226,2026-03-13 18:00:00,93.00,ads,APAC
2027,u227,2026-03-14 09:00:00,114.00,organic,APAC
2028,u228,2026-03-14 18:00:00,94.00,ads,APAC
2029,u229,2026-03-15 09:00:00,115.00,organic,APAC
2030,u230,2026-03-15 18:00:00,95.00,ads,APAC
2031,u231,2026-03-16 09:00:00,116.00,organic,APAC
2032,u232,2026-03-16 18:00:00,96.00,ads,APAC
2033,u233,2026-03-17 09:00:00,117.00,organic,APAC
2034,u234,2026-03-17 18:00:00,97.00,ads,APAC
2035,u235,2026-03-18 09:00:00,118.00,organic,APAC
2036,u236,2026-03-18 18:00:00,98.00,ads,APAC
2037,u237,2026-03-19 09:00:00,119.00,organic,APAC
2038,u238,2026-03-19 18:00:00,99.00,ads,APAC
2039,u239,2026-03-20 09:00:00,120.00,organic,APAC
2040,u240,2026-03-20 18:00:00,100.00,ads,APAC
2041,u241,2026-03-21 09:00:00,121.00,organic,APAC
2042,u242,2026-03-21 18:00:00,101.00,ads,APAC
2043,u243,2026-03-22 09:00:00,122.00,organic,APAC
2044,u244,2026-03-22 18:00:00,102.00,ads,APAC
2045,u245,2026-03-23 09:00:00,123.00,organic,APAC
2046,u246,2026-03-23 18:00:00,103.00,ads,APAC
2047,u247,2026-03-24 09:00:00,124.00,organic,APAC
2048,u248,2026-03-24 18:00:00,104.00,ads,APAC
2049,u249,2026-03-25 09:00:00,125.00,organic,APAC
2050,u250,2026-03-25 18:00:00,105.00,ads,APAC
2051,u251,2026-03-26 09:00:00,126.00,organic,APAC
2052,u252,2026-03-26 18:00:00,106.00,ads,APAC
2053,u253,2026-03-27 09:00:00,127.00,organic,APAC
2054,u254,2026-03-27 18:00:00,107.00,ads,APAC
2055,u255,2026-03-28 09:00:00,128.00,organic,APAC
2056,u256,2026-03-28 18:00:00,108.00,ads,APAC
2057,u257,2026-03-29 09:00:00,129.00,organic,APAC
2058,u258,2026-03-29 18:00:00,109.00,ads,APAC
2059,u259,2026-03-30 09:00:00,130.00,organic,APAC
2060,u260,2026-03-30 18:00:00,110.00,ads,APAC
2061,u261,2026-03-31 09:00:00,131.00,organic,APAC
2062,u262,2026-03-31 18:00:00,111.00,ads,APAC
2063,u263,2026-03-10 09:30:00,999.00,email,EMEA
2064,u264,2026-03-22 18:20:00,888.00,referral,NA
